subj,exp_id,ses_id,marker,object,timestamp,x,y,duration,msrn,msrt
015,1,1,layout0,msrt,0.082166,825.074880,481.447800,0.032802,0.000000,0.000000
015,1,1,layout0,msrt,0.131439,808.713600,432.205200,0.016611,0.000000,0.000000
015,1,1,layout0,msrt,0.262813,236.677760,1063.303200,0.049258,0.000000,0.000000
015,1,1,layout0,msrt,0.328638,235.811520,1009.702800,0.032811,0.000000,0.000000
015,1,1,layout0,msrt,1.034964,1679.009554,911.722114,0.115068,0.000000,0.000000
015,1,1,layout0,msrt,1.166535,1692.424320,902.793600,0.016219,0.000000,0.000000
015,1,1,layout0,msrt,1.314353,988.153152,0.000000,0.492826,0.000000,0.000000
015,1,1,layout0,msrt,1.938596,1726.335360,926.586000,0.016489,0.000000,0.000000
015,1,1,layout0,msrt,1.971529,1687.411413,940.412400,0.147726,0.000000,0.000000
015,1,1,layout0,msrt,2.135691,1717.315712,920.357640,0.492909,0.000000,0.000000
015,1,1,layout0,msrt,2.661532,1695.497649,1029.845631,0.213505,0.000000,0.000000
015,1,1,layout0,msrt,2.891427,1686.127269,997.793486,0.114966,0.000000,0.000000
015,1,1,layout0,msrt,3.039221,1745.063040,955.438200,0.032900,0.000000,0.000000
015,1,1,layout0,msrt,3.154253,1761.548160,823.869360,0.082153,0.000000,0.000000
015,1,1,layout0,msrt,3.252930,1715.189760,860.533200,0.016376,0.000000,0.000000
015,1,1,layout0,msrt,3.285731,1745.048064,931.246200,0.164276,0.000000,0.000000
015,1,1,layout0,msrt,3.466374,1760.620320,888.146100,0.065850,0.000000,0.000000
015,1,1,layout0,msrt,3.581391,1713.431624,979.973687,0.378013,0.000000,0.000000
015,1,1,layout0,msrt,3.975760,1671.851280,919.969650,0.131352,0.000000,0.000000
015,1,1,layout0,msrt,4.123533,1690.692160,953.384400,0.098575,0.000000,0.000000
015,1,1,layout0,msrt,4.238600,1648.791040,1002.024000,0.049282,0.000000,0.000000
015,1,1,layout0,msrt,4.337081,1697.171200,948.074400,0.197226,0.000000,0.000000
015,1,1,layout0,msrt,4.600100,1694.870400,827.307000,0.032824,0.000000,0.000000
015,1,1,layout0,msrt,4.665647,1706.190240,917.921700,0.065760,0.000000,0.000000
015,1,1,layout0,msrt,4.747864,1679.089280,852.166800,0.049266,0.000000,0.000000
015,1,1,layout0,msrt,4.813598,1688.636928,917.678160,0.082075,0.000000,0.000000
015,1,1,layout0,msrt,4.912156,1712.123520,889.941600,0.016413,0.000000,0.000000
015,1,1,layout1,msrt,0.131027,923.061120,347.058000,0.065686,0.000000,0.343841
015,1,1,layout1,msrt,0.278897,982.201600,0.000000,0.049349,0.000000,0.343841
015,1,1,layout1,msrt,0.952477,1672.529280,1014.368400,0.016529,0.000000,0.343841
015,1,1,layout1,msrt,0.985327,1716.960960,1018.691100,0.065689,0.000000,0.343841
015,1,1,layout1,msrt,1.888863,994.376760,1.409400,0.263032,1.000000,0.343841
015,1,1,layout1,msrt,2.348855,1644.103680,926.942400,0.016369,0.000000,0.343841
015,1,1,layout1,msrt,2.381778,1635.810240,925.992000,0.032836,0.000000,0.343841
015,1,1,layout1,msrt,2.529585,1009.885440,158.284800,0.016574,0.000000,0.343841
015,1,1,layout1,msrt,2.562471,981.164947,7.402125,2.365760,0.000000,0.343841
015,1,1,layout1,msrt,4.944543,1020.512640,0.000000,0.016496,0.000000,0.343841
012,1,1,layout9,msrt,0.082191,1625.587200,1038.420000,0.032936,0.000000,0.000000
012,1,1,layout9,msrt,0.180666,1724.121600,742.143600,0.016537,0.000000,0.000000
012,1,1,layout9,msrt,0.262904,1596.821760,1023.505200,0.016349,0.000000,0.000000
012,1,1,layout9,msrt,0.443548,940.110080,59.029200,0.049202,0.000000,0.000000
012,1,1,layout9,msrt,0.509371,916.006080,0.785700,0.065732,0.000000,0.000000
012,1,1,layout9,msrt,0.640764,945.794560,98.013600,0.049223,0.000000,0.000000
012,1,1,layout9,msrt,0.755632,946.792320,233.539200,0.016500,0.000000,0.000000
012,1,1,layout9,msrt,0.854367,915.784320,132.462000,0.016360,0.000000,0.000000
012,1,1,layout9,msrt,0.920078,947.838720,214.984800,0.016375,0.000000,0.000000
012,1,1,layout9,msrt,0.985765,921.012480,13.413600,0.016452,0.000000,0.000000
012,1,1,layout9,msrt,1.117165,1682.663589,812.001086,0.114983,0.000000,0.000000
012,1,1,layout9,msrt,1.264963,1579.099520,840.096000,0.049379,0.000000,0.000000
012,1,1,layout9,msrt,1.363621,1671.655680,748.062000,0.032832,0.000000,0.000000
012,1,1,layout9,msrt,1.445704,1640.022720,921.780000,0.032897,0.000000,0.000000
012,1,1,layout9,msrt,1.544351,1651.545600,777.330000,0.016453,0.000000,0.000000
012,1,1,layout9,msrt,1.626446,1618.449600,1010.124000,0.032904,0.000000,0.000000
012,1,1,layout9,msrt,1.692151,1664.070400,928.425600,0.049341,0.000000,0.000000
012,1,1,layout9,msrt,1.807178,1686.072960,739.724400,0.016399,0.000000,0.000000
012,1,1,layout9,msrt,1.856435,1665.423360,844.452000,0.016454,0.000000,0.000000
012,1,1,layout9,msrt,1.922217,1714.823040,640.407600,0.016363,0.000000,0.000000
012,1,1,layout9,msrt,1.987850,1659.020160,834.084000,0.016496,0.000000,0.000000
012,1,1,layout9,msrt,2.069964,1710.696960,656.067600,0.016477,0.000000,0.000000
012,1,1,layout9,msrt,2.168582,1644.736320,875.515500,0.065749,0.000000,0.000000
012,1,1,layout9,msrt,2.316417,1676.828160,588.308400,0.016444,0.000000,0.000000
012,1,1,layout9,msrt,2.414976,1700.610240,890.913600,0.032963,0.000000,0.000000
012,1,1,layout9,msrt,2.612142,1669.746347,863.598000,0.147713,0.000000,0.000000
012,1,1,layout9,msrt,2.809282,1680.154560,746.312400,0.032903,0.000000,0.000000
012,1,1,layout9,msrt,2.891463,1641.463680,875.113200,0.065746,0.000000,0.000000
012,1,1,layout9,msrt,3.006490,1643.704320,971.773200,0.016394,0.000000,0.000000
012,1,1,layout9,msrt,3.072228,1631.322240,839.203200,0.032711,0.000000,0.000000
012,1,1,layout9,msrt,3.121397,1589.997120,915.786000,0.032938,0.000000,0.000000
012,1,1,layout9,msrt,3.187152,1638.569280,755.438400,0.032815,0.000000,0.000000
012,1,1,layout9,msrt,3.236424,1625.531520,909.295200,0.049252,0.000000,0.000000
012,1,1,layout9,msrt,3.302080,1627.201920,854.841600,0.016486,0.000000,0.000000
012,1,1,layout9,msrt,3.482870,1616.764320,887.136300,0.131445,0.000000,0.000000
012,1,1,layout9,msrt,3.680082,1625.615040,775.337400,0.032786,0.000000,0.000000
012,1,1,layout9,msrt,3.795071,1619.285760,919.231200,0.016384,0.000000,0.000000
012,1,1,layout8,msrt,0.279092,934.944000,570.726000,0.016459,0.000000,0.000000
012,1,1,layout8,msrt,0.377816,912.706560,207.565200,0.049329,0.000000,0.000000
012,1,1,layout8,msrt,0.558468,949.892053,0.000000,0.148001,0.000000,0.000000
012,1,1,layout8,msrt,0.722855,927.417600,0.000000,0.246438,0.000000,0.000000
012,1,1,layout8,msrt,0.985627,992.400000,0.000000,0.016389,0.000000,0.000000
012,1,1,layout8,msrt,1.281310,1703.573760,717.476400,0.032955,0.000000,0.000000
012,1,1,layout8,msrt,1.330578,1691.003520,624.855600,0.032946,0.000000,0.000000
012,1,1,layout8,msrt,1.429183,1648.608320,801.847800,0.098565,0.000000,0.000000
012,1,1,layout8,msrt,1.593477,1673.610240,665.161200,0.016427,0.000000,0.000000
012,1,1,layout8,msrt,1.626339,1666.968960,708.706800,0.016382,0.000000,0.000000
012,1,1,layout8,msrt,1.659320,1625.839200,621.229500,0.065607,0.000000,0.000000
012,1,1,layout8,msrt,1.741333,1629.912960,691.311600,0.049294,0.000000,0.000000
012,1,1,layout8,msrt,1.823507,1655.239680,838.360800,0.016393,0.000000,0.000000
012,1,1,layout8,msrt,2.349288,1632.040320,771.433200,0.016362,0.000000,0.000000
012,1,1,layout8,msrt,2.677798,1647.828480,876.692160,0.082163,0.000000,0.000000
012,1,1,layout8,msrt,2.842146,1647.754880,711.363600,0.049169,0.000000,0.000000
012,1,1,layout8,msrt,2.973551,1636.508640,897.355800,0.065673,0.000000,0.000000
012,1,1,layout8,msrt,3.170596,1653.056640,586.310400,0.016417,0.000000,0.000000
012,1,1,layout8,msrt,3.252666,1669.241280,759.596400,0.032961,0.000000,0.000000
012,1,1,layout8,msrt,3.367829,1596.633600,996.602400,0.032751,0.000000,0.000000
012,1,1,layout8,msrt,3.482761,1605.453840,694.634400,0.131479,0.000000,0.000000
012,1,1,layout8,msrt,3.696383,1581.162240,786.348000,0.016446,0.000000,0.000000
012,1,1,layout8,msrt,3.942776,1587.881856,833.280480,0.082152,0.000000,0.000000
012,1,1,layout8,msrt,4.090631,1644.362880,587.368800,0.016408,0.000000,0.000000
012,1,1,layout8,msrt,4.172747,1636.154880,775.796400,0.016468,0.000000,0.000000
012,1,1,layout8,msrt,4.222074,1650.271680,668.709000,0.032829,0.000000,0.000000
012,1,1,layout8,msrt,4.336953,1586.605440,582.249600,0.016636,0.000000,0.000000
012,1,1,layout8,msrt,4.435572,1594.716160,815.500800,0.049463,0.000000,0.000000
012,1,1,layout8,msrt,4.534131,1589.627136,728.265600,0.082214,0.000000,0.000000
012,1,1,layout8,msrt,4.665629,1658.279040,612.684000,0.032858,0.000000,0.000000
012,1,1,layout8,msrt,4.764254,1628.061120,753.051600,0.032808,0.000000,0.000000
018,1,1,layout3,msrt,0.049436,746.353920,401.576400,0.016347,0.000000,0.623949
018,1,1,layout3,msrt,0.082328,715.417920,356.551200,0.032748,0.000000,0.623949
018,1,1,layout3,msrt,0.279063,946.656000,0.000000,0.032893,0.000000,0.623949
018,1,1,layout3,msrt,0.328221,956.642400,0.000000,0.131878,0.000000,0.623949
018,1,1,layout3,msrt,0.624142,230.398720,867.837600,0.049600,0.000000,0.623949
018,1,1,layout3,msrt,0.690033,268.789440,834.543000,0.032812,0.000000,0.623949
018,1,1,layout3,msrt,0.788523,221.927335,947.739046,0.213561,0.000000,0.623949
018,1,1,layout3,msrt,1.018854,203.795520,961.572600,0.032729,0.000000,0.623949
018,1,1,layout3,msrt,1.100429,322.718400,944.087400,0.032833,0.000000,0.623949
018,1,1,layout3,msrt,1.281248,1653.899520,1033.722000,0.016696,0.000000,0.623949
018,1,1,layout3,msrt,1.314055,1656.474240,1066.410000,0.049692,0.000000,0.623949
018,1,1,layout3,msrt,1.429012,1687.075840,960.343200,0.098584,0.000000,0.623949
018,1,1,layout3,msrt,1.560568,1726.956960,928.405800,0.131548,0.000000,0.623949
018,1,1,layout3,msrt,1.708639,1727.416320,907.977600,0.016346,0.000000,0.623949
018,1,1,layout3,msrt,1.872481,953.645608,0.000000,0.312355,0.000000,0.623949
018,1,1,layout3,msrt,2.201531,915.287040,0.000000,0.016309,0.000000,0.623949
018,1,1,layout3,msrt,2.349389,217.712000,1035.846000,0.049295,0.000000,0.623949
018,1,1,layout3,msrt,2.431320,197.097480,959.268825,0.262650,0.000000,0.623949
018,1,1,layout3,msrt,2.710613,208.649891,1001.416255,0.180956,1.000000,0.623949
018,1,1,layout3,msrt,2.957129,283.736378,918.079527,0.180383,1.000000,0.623949
