subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
013,1,1,layout3,sacc,12.430392,465.149173,0.361458,0.427082
013,1,1,layout3,sacc,2.598405,76.933719,0.147821,0.919938
013,1,1,layout3,sacc,14.892129,442.909622,0.114985,1.215705
013,1,1,layout3,sacc,3.477071,66.892020,0.049204,1.577168
013,1,1,layout3,sacc,18.570118,190.594539,0.279248,1.839954
013,1,1,layout3,sacc,1.514310,35.302139,0.049137,2.546475
013,1,1,layout3,sacc,0.890735,30.768804,0.049215,3.006485
013,1,1,layout3,sacc,1.861818,46.630830,0.098477,4.599976
013,1,1,layout2,sacc,4.029310,140.959158,0.262959,0.131393
013,1,1,layout2,sacc,3.204937,85.537599,0.115016,0.410681
013,1,1,layout2,sacc,1.947249,47.207805,0.098738,0.788500
013,1,1,layout2,sacc,3.678039,81.638502,0.098437,2.760047
013,1,1,layout2,sacc,7.615032,180.123915,0.098642,3.318520
013,1,1,layout2,sacc,2.170145,63.631751,0.098552,3.515713
013,1,1,layout2,sacc,14.287039,106.180978,0.229885,3.680017
013,1,1,layout2,sacc,1.411428,26.408528,0.049234,4.337123
013,1,1,layout2,sacc,2.969903,71.135654,0.065839,4.747766
013,1,1,layout2,sacc,1.951011,43.581328,0.082133,4.846374
013,1,1,layout2,sacc,1.565583,27.439030,0.049347,4.994181
016,1,1,layout2,sacc,6.204078,131.093434,0.065151,0.247054
016,1,1,layout2,sacc,13.567105,351.032416,0.098793,0.607961
016,1,1,layout2,sacc,9.245428,237.523025,0.065936,0.805429
016,1,1,layout2,sacc,3.572375,63.804144,0.049570,1.133650
016,1,1,layout2,sacc,21.152844,594.582664,0.098607,1.741961
016,1,1,layout2,sacc,17.315372,397.138422,0.131249,2.596243
016,1,1,layout2,sacc,5.656555,133.619858,0.065869,2.744023
016,1,1,layout2,sacc,4.108959,105.043319,0.049165,3.187439
016,1,1,layout2,sacc,24.002133,509.586703,0.065801,3.269255
016,1,1,layout3,sacc,11.711063,259.405628,0.065413,0.082580
016,1,1,layout3,sacc,20.334710,470.765020,0.082214,0.427185
016,1,1,layout3,sacc,6.721206,176.951103,0.065406,0.674053
016,1,1,layout3,sacc,5.994538,103.422837,0.049565,1.248758
016,1,1,layout3,sacc,22.235291,755.997510,0.065847,1.824005
016,1,1,layout3,sacc,6.402507,195.511193,0.065541,2.448355
016,1,1,layout3,sacc,21.322846,463.915986,0.098625,2.562991
016,1,1,layout3,sacc,10.994763,262.439599,0.098609,3.499533
012,1,1,layout4,sacc,22.145730,466.163827,0.065740,0.180565
012,1,1,layout5,sacc,22.181585,484.082745,0.065723,0.623836
012,1,1,layout5,sacc,23.292320,418.483717,0.065696,1.626026
012,1,1,layout5,sacc,28.286970,753.783498,0.082163,2.135342
004,1,1,layout2,sacc,20.175607,432.711703,0.098652,0.131379
004,1,1,layout2,sacc,19.481923,517.327511,0.082128,0.459946
004,1,1,layout2,sacc,23.267167,537.294810,0.098638,1.215642
004,1,1,layout2,sacc,27.012528,412.538311,0.049304,2.004281
004,1,1,layout3,sacc,19.760093,407.047612,0.082138,0.377951
004,1,1,layout3,sacc,18.128950,391.255055,0.131552,0.640615
009,1,1,layout1,sacc,20.840071,409.598353,0.098750,0.476100
009,1,1,layout1,sacc,26.294503,676.640661,0.082625,1.297372
009,1,1,layout1,sacc,14.420623,397.227975,0.048974,3.581347
009,1,1,layout1,sacc,19.817296,419.441197,0.066190,3.745091
009,1,1,layout0,sacc,13.017573,285.996363,0.082046,0.410760
009,1,1,layout0,sacc,12.573037,280.229108,0.065544,0.574856
009,1,1,layout0,sacc,24.525653,345.473173,0.049308,1.527761
009,1,1,layout0,sacc,18.256727,365.369388,0.098644,2.464443
009,1,1,layout0,sacc,6.509705,173.508337,0.049515,2.579305
009,1,1,layout0,sacc,6.840243,152.868908,0.049163,2.645134
016,1,1,layout11,sacc,18.872445,468.954336,0.081901,1.183429
016,1,1,layout11,sacc,26.254094,666.851877,0.098434,1.741648
