0.328455 0.471054 0.000000 0.065869 4.244636 -0.184394 21.869361 611.284616 0.082212
0.509229 0.111273 0.830480 0.065869 -0.134105 -0.161455 2.673157 82.503286 0.049139
0.624549 0.132991 0.964470 0.065869 -0.459405 -1.462723 3.941945 83.532367 0.114936
1.018750 0.099033 0.779050 0.065869 -4.434032 0.000000 4.628453 80.589458 0.114510
3.252952 0.082394 1.000000 0.065869 33.899006 -2.244206 35.269060 342.671730 0.213319
3.598189 0.819168 1.000000 0.065869 2.689565 0.219023 4.466753 108.646031 0.065510
3.762287 0.895662 0.825840 0.065869 -0.695181 1.340106 3.626084 78.195712 0.065397
3.844055 0.857165 0.993300 0.065869 -0.526966 0.233801 3.561289 85.182941 0.049351
3.909801 0.901304 0.822250 0.065869 -2.085455 0.000000 4.182866 87.994402 0.049712
4.008638 0.825530 0.949780 0.065869 0.089756 1.828789 5.331381 132.751969 0.098698
4.189147 0.853981 0.707780 0.065869 -2.178708 0.121753 7.498154 199.669926 0.065960
4.534067 0.826711 0.979420 0.065869 -0.417096 1.847753 21.327077 530.105146 0.098706
4.665590 0.470812 0.164610 0.065869 0.176022 -1.512784 2.976398 59.370623 0.049731
4.731767 0.458291 0.052920 0.065869 0.000000 0.000000 6.171390 171.486734 0.065759
