x,y,d,t
0.164598,0.981660,4.075000,135.826036
0.166899,0.942050,4.045000,135.841846
0.166899,0.942050,4.090000,135.858880
0.153804,0.933360,4.050000,135.875067
0.132592,0.983970,4.090000,135.891515
0.132592,0.983970,4.120000,135.907612
0.154473,1.055980,4.045000,135.924505
0.145991,1.040160,4.045000,135.940888
0.141721,1.027370,4.040000,135.957402
0.146379,0.965960,4.055000,135.973365
0.136389,0.947150,4.025000,135.990303
0.132170,0.933690,3.985000,136.006634
0.115734,0.955590,4.035000,136.022662
0.142526,0.865440,4.055000,136.039498
0.142526,0.865440,4.040000,136.055806
0.121595,0.881390,4.040000,136.072485
0.134229,0.902960,4.065000,136.088455
0.132913,0.895620,4.050000,136.105395
0.132614,0.882660,3.975000,136.121604
0.114176,0.829540,4.045000,136.138184
0.115233,0.836080,4.055000,136.154385
0.117433,0.844450,4.010000,136.170953
0.136839,0.885930,3.985000,136.187240
0.144320,0.907890,3.980000,136.203676
0.449656,0.859060,3.995000,136.220050
0.700469,0.787410,4.000000,136.236592
0.702714,0.771410,3.945000,136.253167
0.880621,0.789910,4.175000,136.269003
0.890701,0.841860,4.125000,136.285603
0.894852,0.828030,4.120000,136.302006
0.868769,0.794830,4.115000,136.318342
0.886325,0.721470,4.145000,136.334845
0.890279,0.706780,4.190000,136.351143
0.884266,0.796080,4.165000,136.367663
0.884289,0.691480,4.130000,136.384091
0.884289,0.691480,4.115000,136.400337
0.851703,0.816960,4.090000,136.416990
0.861018,0.735600,4.125000,136.433344
0.854319,0.762020,4.170000,136.449879
0.844143,0.791060,4.090000,136.466437
0.842062,0.840150,4.115000,136.482846
0.835379,0.861420,4.135000,136.499161
0.835632,0.804620,4.105000,136.515767
0.812182,0.813380,4.120000,136.532306
0.811349,0.816950,4.100000,136.548920
0.857773,0.850420,4.100000,136.565277
0.826289,0.821530,4.105000,136.581773
0.832679,0.798880,4.085000,136.598108
0.834693,0.714460,4.045000,136.614231
0.848969,0.744730,4.065000,136.630860
0.856496,0.714150,4.075000,136.647083
0.859589,0.749890,4.065000,136.663763
0.852693,0.679820,4.095000,136.680066
0.852429,0.685390,4.085000,136.696732
0.869765,0.709810,4.090000,136.713007
0.864399,0.679260,4.140000,136.729533
0.858971,0.692300,4.160000,136.745734
0.834969,0.741570,4.110000,136.762436
0.832803,0.775060,4.095000,136.778619
0.824276,0.810320,4.095000,136.795306
0.864073,0.860190,4.165000,136.811483
0.860686,0.778470,4.195000,136.828187
0.863634,0.770310,4.200000,136.844356
0.864084,0.862480,4.155000,136.860837
0.876926,0.784690,4.185000,136.877266
0.881274,0.768830,4.180000,136.893400
0.857058,0.765870,4.160000,136.910253
0.857328,0.750740,4.115000,136.926713
0.854161,0.763160,4.130000,136.942905
0.848368,0.786190,4.215000,136.959582
0.895010,0.777880,4.140000,136.975729
0.895010,0.777880,4.135000,136.992355
0.889711,0.723870,4.125000,137.008270
0.882894,0.856450,4.235000,137.025277
0.883265,0.851890,4.225000,137.041404
0.862543,0.840830,4.060000,137.057753
0.839171,0.760990,4.105000,137.074414
0.838057,0.769400,4.100000,137.090928
0.848547,0.747760,4.120000,137.107341
0.874051,0.844320,4.265000,137.123420
0.878411,0.829180,4.250000,137.140181
0.866840,0.823230,4.105000,137.156172
0.861271,0.830090,4.105000,137.172602
0.855089,0.849020,4.115000,137.188966
0.864556,0.873930,4.150000,137.205433
0.841111,0.871080,4.185000,137.221940
0.847456,0.855920,4.190000,137.238356
0.884559,0.785160,4.175000,137.254796
0.924170,0.702740,4.310000,137.271222
0.942221,0.640610,4.300000,137.287527
0.901884,0.594160,4.155000,137.304009
0.922078,0.693700,4.180000,137.320551
0.918028,0.707690,4.195000,137.336922
0.882612,0.843760,4.160000,137.353572
0.875429,0.906220,4.220000,137.370034
0.868151,0.925730,4.245000,137.386129
0.880756,0.834200,4.185000,137.403086
0.879991,0.896480,4.205000,137.419156
0.874754,0.913480,4.215000,137.435437
0.871087,0.982530,4.170000,137.452082
0.834755,0.957610,4.230000,137.468485
0.834755,0.957610,4.225000,137.484811
0.837005,0.938390,4.170000,137.501259
0.836397,0.993790,4.280000,137.517693
0.839998,0.981610,4.280000,137.534043
