x,y,d,t
0.875817,0.924690,3.905000,81.771204
0.881566,0.931150,3.920000,81.787878
0.877303,0.944150,4.110000,81.804066
0.874557,0.910170,3.970000,81.820792
0.886246,0.924550,3.960000,81.836900
0.886246,0.924550,3.920000,81.853563
0.901130,0.942850,3.945000,81.869596
0.892557,0.950250,4.120000,81.886479
0.892557,0.950250,4.205000,81.902650
0.875874,1.021760,4.085000,81.919281
0.876954,0.950470,4.125000,81.935633
0.887399,0.921820,4.135000,81.952130
0.910034,0.894740,3.950000,81.968541
0.902829,0.823780,3.865000,81.984650
0.906181,0.810570,3.995000,82.001478
0.872887,0.851820,3.855000,82.017571
0.848924,0.915680,3.830000,82.034316
0.838670,0.951570,3.915000,82.050382
0.850792,0.950080,3.855000,82.067121
0.858481,0.944210,3.960000,82.083375
0.862453,0.931610,3.870000,82.100023
0.863341,0.930200,3.850000,82.116065
0.874642,0.973090,3.880000,82.132840
0.872105,0.978970,3.910000,82.149238
0.848098,1.003100,3.910000,82.165730
0.872578,1.028750,3.995000,82.181877
0.868415,1.040650,3.875000,82.198584
0.846005,1.041130,3.845000,82.214879
0.847833,1.006200,3.875000,82.231446
0.846568,1.011610,3.875000,82.247741
0.859426,1.001090,3.855000,82.264404
0.862520,0.952580,3.890000,82.280781
0.864061,0.945860,3.970000,82.296997
0.859589,1.076280,3.840000,82.313622
0.840346,0.825830,3.905000,82.329798
0.842467,0.819540,3.890000,82.346316
0.826301,0.702400,4.000000,82.362695
0.839699,0.665770,3.910000,82.378630
0.841218,0.657810,3.930000,82.395562
0.831363,0.677850,4.020000,82.411912
0.832415,0.686230,4.075000,82.428177
0.830891,0.694310,3.905000,82.444693
0.833197,0.665260,3.900000,82.461141
0.736357,0.343290,3.905000,82.477536
0.740261,0.312330,3.645000,82.493869
0.532704,-0.298120,4.125000,82.510284
0.525453,-0.283160,4.255000,82.526674
0.525644,-0.271390,4.555000,82.543015
0.534684,-0.243730,4.490000,82.559508
0.529880,-0.306850,4.405000,82.575996
0.528952,-0.266430,4.305000,82.592463
0.515711,-0.173060,4.395000,82.608769
0.516138,-0.170760,4.435000,82.625509
0.515891,-0.145470,4.430000,82.641983
0.526077,-0.139220,4.385000,82.658455
0.508038,-0.161750,4.355000,82.674856
0.508168,-0.185210,4.335000,82.691408
0.535741,-0.189510,4.380000,82.707634
0.520486,-0.187330,4.305000,82.724330
0.520897,-0.200500,4.395000,82.740561
0.524086,-0.214400,4.345000,82.757184
0.539937,-0.221360,4.520000,82.773327
0.540410,-0.246300,4.330000,82.789513
0.503369,-0.476760,4.370000,82.805886
0.515424,-0.448580,4.365000,82.822842
0.515424,-0.448580,4.470000,82.839148
0.504157,-0.490630,4.525000,82.855198
0.523608,-0.489560,4.575000,82.872186
0.523608,-0.489560,4.575000,82.888176
0.490933,-0.458950,4.010000,82.904900
0.494111,-0.475750,4.405000,82.921161
0.494111,-0.475750,4.015000,82.937812
0.505057,-0.488820,4.025000,82.954138
0.505147,-0.523850,4.015000,82.970734
0.505558,-0.541530,4.040000,82.986884
0.513601,-0.527710,4.415000,83.003560
0.497671,-0.576190,4.560000,83.019967
0.497716,-0.608830,4.415000,83.036216
0.496057,-0.599880,4.165000,83.052637
0.509360,-0.590570,4.185000,83.069207
0.508539,-0.559450,4.550000,83.085480
0.499904,-0.511020,4.580000,83.102225
0.486365,-0.420910,4.620000,83.118383
0.486579,-0.362080,4.640000,83.134996
0.496468,-0.321790,4.350000,83.151080
0.503009,-0.340710,4.420000,83.167871
