x,y,d,t
0.638696,0.340540,3.070000,144.715330
0.412706,0.128080,3.280000,144.896043
0.440403,0.112640,3.210000,144.912406
0.439295,0.092300,3.280000,144.928826
0.463516,0.063360,3.250000,144.945290
0.467876,0.052550,3.270000,144.961712
0.467077,0.032250,3.250000,144.978168
0.478237,0.022230,3.300000,144.994562
0.459044,0.005200,3.495000,145.011038
0.459416,0.015820,3.465000,145.027401
0.457396,0.062590,3.365000,145.043855
0.464467,0.104920,3.265000,145.060232
0.465080,0.115620,3.170000,145.076716
0.449982,0.140740,3.215000,145.093181
0.467229,0.117540,3.220000,145.109535
0.465980,0.083790,3.220000,145.126038
0.450607,0.017960,3.280000,145.142460
0.462492,-0.061990,3.205000,145.158952
0.462684,-0.054950,3.220000,145.175280
0.405253,0.069990,2.935000,145.191643
0.336414,0.324270,3.120000,145.208083
0.340587,0.339700,3.035000,145.224653
0.269949,0.518100,3.085000,145.241071
0.264734,0.503530,3.045000,145.257433
0.264734,0.503530,3.045000,145.273796
0.278223,0.561750,3.050000,145.290315
0.257101,0.515330,3.085000,145.306752
0.254289,0.510540,3.085000,145.323194
0.282954,0.510700,3.035000,145.339523
0.274179,0.496900,3.040000,145.356063
0.271647,0.492070,3.040000,145.372496
0.292527,0.511920,3.000000,145.388876
0.260054,0.497640,3.000000,145.405335
0.260054,0.497640,3.045000,145.421761
0.260369,0.536160,3.005000,145.438128
0.252978,0.503460,3.000000,145.454637
0.252978,0.503460,2.995000,145.471001
0.267119,0.469770,3.065000,145.487519
0.261534,0.473670,3.090000,145.503973
0.261534,0.473670,3.065000,145.520234
0.258502,0.449040,3.055000,145.536786
0.268976,0.477030,3.000000,145.553140
0.268976,0.477030,2.990000,145.569533
0.269994,0.411810,3.050000,145.586039
0.280040,0.408090,2.995000,145.602432
0.280040,0.408090,3.010000,145.618786
0.303429,0.396090,2.905000,145.635356
0.425570,0.454960,3.035000,145.651767
0.424462,0.448630,2.820000,145.668062
0.844374,0.844560,2.525000,145.832441
0.892259,0.798300,2.540000,145.848859
0.886409,0.817280,2.535000,145.865258
0.859364,0.846670,2.590000,145.881733
0.877263,0.829970,2.620000,145.898109
0.871430,0.850000,2.620000,145.914701
0.847006,0.790440,2.775000,145.931081
0.868978,0.913470,2.770000,145.947516
0.874704,0.894880,2.740000,145.963858
0.883147,0.856010,2.750000,145.980291
0.841567,1.024360,2.785000,145.996735
0.843041,1.019980,2.715000,146.013129
0.916514,0.776130,2.765000,146.029464
0.852198,0.907000,2.700000,146.046051
0.518782,-0.122960,3.370000,146.226812
0.511655,-0.149410,3.395000,146.243172
0.511256,-0.173460,3.395000,146.259572
0.526640,-0.143520,3.140000,146.276034
0.485954,-0.015820,3.205000,146.292426
0.486567,0.005000,3.150000,146.308831
0.506154,-0.013910,3.225000,146.325222
0.477314,-0.019430,3.290000,146.341705
0.477314,-0.019430,3.255000,146.358238
0.473495,-0.054170,3.180000,146.374539
0.479182,-0.015860,3.160000,146.391050
0.479182,-0.015860,3.175000,146.407357
0.468500,-0.052210,3.300000,146.423906
0.485262,0.007960,3.215000,146.440315
0.485262,0.007960,3.220000,146.456750
0.490843,-0.039410,3.225000,146.473110
0.488109,-0.025520,3.315000,146.489485
0.487501,-0.046680,3.250000,146.505976
0.545214,-0.276520,3.400000,146.522406
0.538818,-0.170200,3.345000,146.538853
0.538818,-0.170200,2.845000,146.555383
0.560728,-0.188950,2.750000,146.571653
0.555046,-0.208670,3.390000,146.588158
0.555046,-0.208670,2.820000,146.604609
0.565492,-0.196540,2.790000,146.621017
0.554923,-0.168410,2.770000,146.637391
0.554923,-0.168410,3.275000,146.653959
0.570785,-0.184600,2.825000,146.670280
0.428878,0.129820,2.345000,146.686690
0.428878,0.129820,2.965000,146.703154
0.270776,0.480540,2.990000,146.719539
0.262749,0.554860,3.020000,146.735948
0.262749,0.554860,2.945000,146.752294
0.284748,0.645950,2.935000,146.768796
0.257799,0.590910,2.960000,146.785284
0.254621,0.585330,2.920000,146.801788
0.261207,0.558860,2.830000,146.818003
0.261185,0.561380,2.860000,146.834599
0.261185,0.561380,2.870000,146.851024
0.272879,0.528560,2.870000,146.867403
0.267457,0.529520,2.995000,146.883888
0.267457,0.529520,2.980000,146.900301
0.274483,0.535870,2.820000,146.916688
0.250452,0.526330,2.985000,146.933058
0.253006,0.531430,2.975000,146.949610
0.265201,0.510730,2.995000,146.965991
0.254666,0.491610,2.920000,146.982454
0.257911,0.498700,2.930000,146.998940
0.260516,0.519300,2.910000,147.015346
0.264841,0.533370,2.900000,147.031663
0.262304,0.528090,2.895000,147.048158
0.254958,0.506500,2.880000,147.064578
0.247854,0.515890,2.980000,147.080954
0.247854,0.515890,3.000000,147.097411
0.273279,0.564960,3.000000,147.113914
0.273869,0.531100,3.025000,147.130265
0.276283,0.536330,3.020000,147.146684
0.274921,0.568620,2.970000,147.163193
0.275956,0.568930,2.935000,147.179472
0.278443,0.573900,2.950000,147.195962
0.284495,0.560420,3.000000,147.212419
0.270117,0.565340,2.995000,147.228843
0.270117,0.565340,2.995000,147.245304
0.267716,0.559350,2.975000,147.261632
0.276429,0.582200,2.945000,147.278096
0.273914,0.577320,2.960000,147.294579
0.299249,0.514790,2.830000,147.310940
0.299812,0.544300,2.915000,147.327425
0.294997,0.532880,2.910000,147.343897
0.297095,0.496010,2.920000,147.360309
0.300076,0.508760,2.920000,147.376699
0.297573,0.502330,2.900000,147.393130
0.284489,0.550290,2.965000,147.409660
0.279691,0.533020,2.915000,147.426019
0.282425,0.539060,2.915000,147.442459
0.291239,0.492440,2.815000,147.458892
0.290840,0.552540,2.825000,147.475135
0.293546,0.558560,2.825000,147.491708
