x,y,d,t
0.498172,-0.158830,4.215000,128.235741
0.492637,-0.082690,4.355000,128.252071
0.494099,-0.082900,4.280000,128.268541
0.504269,-0.128020,4.290000,128.285196
0.496794,-0.226310,4.220000,128.301291
0.495399,-0.291040,4.225000,128.317825
0.485403,-0.304970,4.170000,128.334259
0.511886,-0.241220,4.340000,128.350614
0.512791,-0.200830,4.305000,128.367134
0.504747,-0.182260,4.290000,128.383494
0.488823,-0.199910,4.270000,128.399818
0.488806,-0.201870,4.285000,128.416296
0.494943,-0.229810,4.195000,128.432770
0.495736,-0.253890,4.395000,128.449131
0.495522,-0.280660,4.365000,128.465800
0.501800,-0.291750,4.335000,128.481996
0.508589,-0.331710,4.220000,128.498513
0.508511,-0.358430,4.220000,128.514966
0.486590,-0.358180,4.250000,128.531373
0.499961,-0.367400,4.200000,128.547869
0.499449,-0.326680,4.270000,128.564139
0.499336,-0.287410,4.255000,128.580936
0.498695,-0.192540,4.245000,128.597551
0.499556,-0.178100,4.270000,128.613805
0.406057,0.084330,4.320000,128.630428
0.274623,0.545190,4.260000,128.646784
0.272368,0.535260,4.110000,128.663284
0.224915,0.727270,4.095000,128.679652
0.215336,0.757120,4.090000,128.695821
0.218896,0.773980,4.100000,128.712599
0.219222,0.744260,4.075000,128.728742
0.222108,0.716080,4.045000,128.745387
0.218879,0.699960,4.055000,128.761319
0.228256,0.653350,4.055000,128.778318
0.222429,0.700860,4.100000,128.794496
0.221686,0.692810,4.120000,128.811196
0.246251,0.637210,4.105000,128.827390
0.219571,0.591930,4.070000,128.844033
0.217034,0.582460,4.065000,128.860242
0.121724,0.872720,4.155000,128.876693
0.139021,0.989500,4.250000,128.893109
0.143381,1.002980,4.205000,128.909804
0.145046,0.920230,4.140000,128.926076
0.153984,0.957810,4.125000,128.942507
0.157966,0.970960,4.170000,128.958955
0.150592,0.979290,4.110000,128.975423
0.199895,0.965610,4.225000,128.991609
0.199895,0.965610,4.110000,129.008292
0.700036,0.967010,4.180000,129.024759
0.875041,1.003880,4.235000,129.040939
0.878653,1.001120,4.295000,129.057617
0.865749,0.942210,4.185000,129.073705
0.864584,0.950960,4.250000,129.089881
0.866604,0.940960,4.240000,129.106641
0.845201,0.953120,4.160000,129.123289
0.857086,1.002940,4.220000,129.139494
0.855269,1.008650,4.245000,129.156202
0.844520,0.902270,4.190000,129.172503
0.840633,0.955850,4.235000,129.189062
0.840633,0.955850,4.245000,129.205282
0.866536,0.896100,4.160000,129.221911
0.839098,0.949920,4.270000,129.238188
0.839098,0.949920,4.270000,129.254660
0.838181,0.929720,4.235000,129.271128
0.847344,0.996750,4.245000,129.287313
0.847344,0.996750,4.225000,129.303836
0.826239,0.975900,4.190000,129.320278
0.839345,0.988250,4.270000,129.336704
0.836324,0.998460,4.260000,129.353095
