x,y,d,t
0.535111,0.909320,3.425000,91.042856
0.526533,1.022040,3.490000,91.059333
0.526719,1.016620,3.210000,91.076030
0.546333,0.886880,3.215000,91.092580
0.538835,0.921310,3.440000,91.109153
0.538824,0.921630,3.360000,91.125133
0.500489,0.938330,3.495000,91.142067
0.522500,1.001170,3.425000,91.158229
0.522106,1.014070,3.245000,91.174770
0.518433,1.001690,3.350000,91.191251
0.492046,1.034450,3.280000,91.207596
0.492035,1.039530,3.355000,91.224072
0.438530,0.673920,3.255000,91.240628
0.447294,0.479480,3.445000,91.256786
0.447969,0.500560,3.415000,91.273485
0.468905,0.593110,3.445000,91.289661
0.444431,0.596300,3.505000,91.306146
0.443677,0.575940,3.435000,91.322546
0.463511,0.419400,3.320000,91.338736
0.446107,0.515490,3.345000,91.355609
0.446107,0.515490,3.280000,91.371692
0.453166,0.469040,3.145000,91.388403
0.436820,0.549750,3.330000,91.404714
0.436601,0.540860,3.215000,91.420918
0.461683,0.327220,3.090000,91.437330
0.469895,0.127550,3.645000,91.453735
0.469569,0.102530,3.190000,91.470186
0.474890,0.208430,2.980000,91.486667
0.473366,0.310300,3.600000,91.503028
0.473664,0.333320,3.175000,91.519505
0.441427,0.350930,2.800000,91.535972
0.454381,0.188050,3.330000,91.552347
0.454038,0.174090,2.950000,91.568958
0.459826,0.193380,2.720000,91.585311
0.482681,0.090510,3.135000,91.601998
0.482956,0.103740,3.560000,91.618068
0.497221,0.067750,3.210000,91.634878
0.493666,0.030560,3.425000,91.651092
0.493807,0.045880,3.360000,91.667810
0.510704,0.110090,3.235000,91.684012
0.483552,0.056040,3.195000,91.700715
0.483552,0.056040,3.315000,91.716385
0.501749,0.081870,3.310000,91.733408
0.502486,0.076060,3.305000,91.749713
0.502486,0.076060,3.335000,91.766198
0.517246,0.046480,3.615000,91.782730
0.509624,0.087460,3.560000,91.798889
0.509540,0.072610,3.490000,91.815627
0.525931,-0.000010,3.300000,91.831812
0.506497,0.020880,3.030000,91.848387
0.506368,0.005690,3.405000,91.864526
0.508646,0.021610,3.000000,91.881289
