x,y,d,t
0.894762,0.945040,3.375000,101.581608
0.874934,0.937610,3.310000,101.598060
0.897918,0.956470,3.365000,101.614430
0.897794,0.956820,3.460000,101.630810
0.871458,1.015850,3.360000,101.647240
0.892918,1.023410,3.375000,101.663739
0.891697,1.028560,3.430000,101.680195
0.882472,0.971170,3.465000,101.696566
0.871351,0.994770,3.400000,101.712933
0.877831,0.978410,3.430000,101.729334
0.895241,0.947320,3.520000,101.745766
0.889413,0.894670,3.640000,101.762235
0.894239,0.876880,3.350000,101.778691
0.885419,0.974640,3.410000,101.795462
0.892737,0.925410,3.465000,101.811644
0.884941,0.948480,3.445000,101.827998
0.904038,0.982140,3.500000,101.844560
0.869467,0.987380,3.500000,101.860807
0.869467,0.987380,3.310000,101.877422
0.809774,0.714070,3.150000,101.893524
0.713924,0.421270,3.310000,101.910229
0.719729,0.377640,3.180000,101.926475
0.537642,-0.063370,3.660000,101.943024
0.554602,-0.094060,3.725000,101.959404
0.554337,-0.105810,3.640000,101.975886
0.550428,-0.109790,3.810000,101.992451
0.555209,-0.053700,3.710000,102.008709
0.554321,-0.006530,3.680000,102.025144
0.551379,0.000800,2.910000,102.041686
0.557004,0.000280,3.480000,102.057996
0.557004,0.000280,2.895000,102.074314
0.551407,-0.007020,2.870000,102.090833
0.535201,0.026270,2.885000,102.107215
0.535679,0.033650,2.880000,102.123623
0.506171,-0.117480,3.860000,102.140233
0.493199,-0.133730,3.540000,102.156651
0.492558,-0.146130,2.285000,102.173113
0.488092,-0.187100,2.325000,102.189505
0.503364,-0.197560,2.305000,102.205989
0.503307,-0.217800,2.340000,102.222431
0.518765,-0.234310,2.305000,102.238809
0.506671,-0.244830,2.410000,102.255253
0.506671,-0.244830,2.315000,102.271553
0.498144,-0.165910,2.385000,102.287994
0.396466,0.026390,1.865000,102.304408
0.283348,0.329140,3.170000,102.518083
0.154799,0.894230,3.230000,102.534393
0.152802,0.889730,3.140000,102.550775
0.156256,0.899660,3.155000,102.567358
0.143426,0.933100,3.260000,102.583756
0.149039,0.893340,3.160000,102.600205
0.152651,0.903600,3.270000,102.616593
0.135579,0.931880,3.240000,102.633037
0.127963,0.976850,2.670000,102.649499
0.124092,0.967400,3.170000,102.665876
0.137834,0.931700,2.670000,102.682328
0.122827,0.957630,3.135000,102.698707
0.122827,0.957630,3.070000,102.715132
0.115852,0.943410,3.250000,102.731666
0.125009,0.966130,3.285000,102.747978
0.128879,0.975600,3.320000,102.764462
0.123423,1.008700,3.205000,102.780968
0.117219,0.971470,3.180000,102.797334
0.113236,0.961980,2.690000,102.813732
0.282684,0.649810,3.410000,103.010773
0.915586,0.804060,2.880000,103.027243
0.898554,0.844120,2.920000,103.043666
0.898554,0.844120,2.950000,103.060145
0.903386,0.783950,2.915000,103.076555
0.905017,0.828570,2.900000,103.093131
0.905017,0.828570,2.890000,103.109513
0.902806,0.808100,2.910000,103.125880
0.887563,0.851340,2.900000,103.142375
0.887563,0.851340,2.980000,103.158680
0.712321,0.345090,3.205000,103.175148
0.597397,0.121640,3.270000,103.191598
0.598128,0.103170,3.115000,103.208002
0.502064,-0.045290,3.800000,103.224529
0.491973,-0.043350,3.875000,103.240858
0.491973,-0.043350,3.865000,103.257268
0.531140,0.075940,3.720000,103.273759
0.510294,0.021040,3.840000,103.290027
0.510817,0.028060,3.820000,103.306643
0.526134,-0.016530,3.710000,103.323059
0.520537,-0.031100,3.675000,103.339250
0.520593,-0.055500,3.730000,103.355918
0.525892,-0.132820,3.875000,103.372238
0.511025,-0.174040,3.695000,103.388672
0.510204,-0.170620,3.700000,103.405122
0.508899,-0.149760,3.895000,103.421612
0.502019,-0.103350,3.915000,103.438035
0.502565,-0.067590,4.145000,103.454349
0.497862,-0.071490,3.840000,103.470728
0.501586,-0.091500,3.930000,103.487319
0.501479,-0.112720,3.995000,103.503749
0.507357,-0.145600,3.910000,103.520181
0.514715,-0.126700,3.895000,103.536584
0.515244,-0.164470,3.940000,103.552984
0.507807,-0.241140,3.940000,103.569503
0.510716,-0.291610,3.970000,103.585935
0.510237,-0.304150,4.110000,103.602295
0.516538,-0.285160,3.795000,103.618715
0.508336,-0.247980,3.960000,103.635205
0.508387,-0.196390,3.890000,103.651586
0.505709,-0.182410,3.875000,103.667918
0.511222,-0.183280,4.015000,103.684376
0.510856,-0.171980,3.920000,103.700857
0.515441,-0.095670,3.975000,103.717329
0.514664,-0.083060,4.180000,103.733707
0.514659,-0.061600,3.990000,103.750113
0.506694,-0.062580,3.920000,103.766495
0.506598,-0.050020,4.090000,103.783002
0.506975,-0.061170,4.110000,103.799337
0.529616,-0.083700,4.005000,103.815779
0.523698,-0.092090,4.130000,103.832196
0.523794,-0.113360,4.135000,103.848737
0.521442,-0.118250,3.980000,103.865021
0.519766,-0.109200,4.215000,103.881490
0.519766,-0.109200,4.045000,103.897955
0.505709,-0.063080,3.875000,103.914376
0.525881,-0.079330,3.950000,103.930826
0.526449,-0.091910,3.955000,103.947291
0.512313,-0.102200,3.800000,103.963671
0.512099,-0.130260,3.890000,103.980113
0.511239,-0.111580,3.910000,103.996493
0.501631,0.009040,3.915000,104.012960
0.533356,0.028780,3.915000,104.029410
0.532777,0.093890,3.965000,104.045712
0.528018,0.095330,3.785000,104.062271
0.528643,0.090930,4.020000,104.078717
0.528766,0.070740,4.060000,104.094996
0.500388,0.063340,3.945000,104.111605
0.501648,0.023630,4.135000,104.128201
0.502256,-0.044600,4.255000,104.144370
0.507521,-0.145040,3.980000,104.160971
0.501986,-0.253330,4.005000,104.177289
0.501316,-0.312260,4.125000,104.193618
0.515041,-0.309750,4.035000,104.210135
0.497008,-0.286620,3.965000,104.226583
0.497390,-0.215240,4.025000,104.242857
0.513449,-0.179510,4.035000,104.259386
0.492867,-0.142980,4.130000,104.275864
0.492592,-0.131770,4.145000,104.292219
0.511537,-0.091340,4.035000,104.308705
0.516245,-0.132010,4.105000,104.325181
0.516689,-0.142170,4.130000,104.341654
0.523158,-0.122620,4.150000,104.358003
0.526218,-0.097530,4.125000,104.374457
0.526201,-0.094120,4.165000,104.390891
0.521066,-0.108720,4.080000,104.407242
0.513253,-0.105810,3.955000,104.423730
0.512780,-0.094880,3.900000,104.440083
0.498644,-0.117410,4.045000,104.456599
0.505023,-0.104620,4.060000,104.473015
0.505805,-0.107520,4.070000,104.489383
0.513073,-0.163240,4.075000,104.505852
0.528524,-0.185830,3.975000,104.522272
0.527714,-0.208850,3.975000,104.538754
0.500934,-0.193700,4.060000,104.555232
0.523856,-0.144470,4.060000,104.571592
0.524683,-0.121430,4.020000,104.588061
0.508167,-0.151930,4.090000,104.604492
0.519254,-0.281910,4.080000,104.620878
0.518428,-0.306200,4.115000,104.637356
0.505108,-0.252970,4.045000,104.653644
0.511194,-0.199390,4.015000,104.670105
0.511621,-0.161940,3.930000,104.686603
0.514552,-0.135440,3.835000,104.702869
0.514985,-0.155540,3.915000,104.719442
0.515002,-0.177490,3.995000,104.735917
0.513618,-0.191510,4.120000,104.752304
0.526443,-0.194640,4.070000,104.768593
0.527062,-0.207770,4.000000,104.785148
0.529514,-0.254700,4.000000,104.801596
0.528806,-0.255230,4.055000,104.818036
0.528969,-0.281590,4.015000,104.834500
0.514546,-0.334890,4.160000,104.850888
0.547863,-0.265160,3.765000,104.867247
0.547143,-0.251590,3.835000,104.883713
0.538936,-0.248140,3.860000,104.900122
0.538728,-0.222040,3.835000,104.916545
0.538441,-0.195760,3.785000,104.933069
0.533210,-0.258710,3.890000,104.949555
0.539594,-0.218210,3.940000,104.965883
0.539369,-0.196600,3.935000,104.982334
0.561892,-0.162120,3.860000,104.998735
0.554152,-0.172540,3.870000,105.015160
0.554152,-0.172540,3.890000,105.031617
0.653349,0.039940,3.360000,105.048037
0.781863,0.435710,3.250000,105.064436
0.784276,0.420100,3.360000,105.080856
0.893002,0.902240,3.090000,105.097303
0.911221,0.905670,3.045000,105.113842
0.908690,0.910760,3.650000,105.130231
