stim,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,stimulus_loop.thisRepN,stimulus_loop.thisTrialN,stimulus_loop.thisN,stimulus_loop.thisIndex,calib_instr_text.started,calib_instr_text.stopped,calib_text.started,calib_text.stopped,calib_resp.keys,calib_resp.rt,calib_resp.started,calib_resp.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,layout.started,layout.stopped,closing_text.started,closing_text.stopped,closing_key_resp.keys,closing_key_resp.rt,closing_key_resp.started,closing_key_resp.stopped,participant,task,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,22.31736419999652,None,58.165616899997985,None,['y'],[3.4162214000025415],58.165616899997985,None,,,,,,,,,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
,1,0,1,0,,,,,,,75.94896139999764,None,['n'],[3.641206599997531],75.94896139999764,None,,,,,,,,,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
,,,,,,,,,,,,,,,,,79.618979699997,None,space,11.15424530000746,79.618979699997,None,,,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout10.jpg,,,,,0,0,0,9,,,,,,,,,,,,,,,91.04499039999791,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout3.png,,,,,0,1,1,2,,,,,,,,,,,,,,,95.97838299999421,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout4.png,,,,,0,2,2,3,,,,,,,,,,,,,,,100.94360379999853,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout12.jpg,,,,,0,3,3,11,,,,,,,,,,,,,,,106.95636149999336,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout5.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,110.9976652999976,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout2.png,,,,,0,5,5,1,,,,,,,,,,,,,,,116.9746404999969,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout8.jpg,,,,,0,6,6,7,,,,,,,,,,,,,,,121.95798179999838,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout1.png,,,,,0,7,7,0,,,,,,,,,,,,,,,125.9303851999939,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout7.jpg,,,,,0,8,8,6,,,,,,,,,,,,,,,130.93640959999902,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout9.jpg,,,,,0,9,9,8,,,,,,,,,,,,,,,136.94613849999587,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout6.jpg,,,,,0,10,10,5,,,,,,,,,,,,,,,140.9333284999957,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
./stimuli/layout11.jpg,,,,,0,11,11,10,,,,,,,,,,,,,,,145.93375839999499,None,,,,,,,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
,,,,,,,,,,,,,,,,,,,,,,,,,151.7960804999966,None,space,7.497995199999423,151.7960804999966,None,009,Experiment,2022_Nov_16_1522,PackagingExperiment,2021.2.3,59.9865989930018,
