stim,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,stimulus_loop.thisRepN,stimulus_loop.thisTrialN,stimulus_loop.thisN,stimulus_loop.thisIndex,calib_instr_text.started,calib_instr_text.stopped,calib_text.started,calib_text.stopped,calib_resp.keys,calib_resp.rt,calib_resp.started,calib_resp.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,layout.started,layout.stopped,closing_text.started,closing_text.stopped,closing_key_resp.keys,closing_key_resp.rt,closing_key_resp.started,closing_key_resp.stopped,participant,task,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,22.41037310000138,None,67.11314099999981,None,['n'],[4.691683499999272],67.11314099999981,None,,,,,,,,,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
,,,,,,,,,,,,,,,,,71.82827689999976,None,space,13.911298400000305,71.82827689999976,None,,,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout5.jpg,,,,,0,0,0,4,,,,,,,,,,,,,,,86.12935850000031,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout3.png,,,,,0,1,1,2,,,,,,,,,,,,,,,91.97896639999999,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout8.jpg,,,,,0,2,2,7,,,,,,,,,,,,,,,95.97902910000084,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout12.jpg,,,,,0,3,3,11,,,,,,,,,,,,,,,102.11251220000122,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout1.png,,,,,0,4,4,0,,,,,,,,,,,,,,,106.02928670000074,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout9.jpg,,,,,0,5,5,8,,,,,,,,,,,,,,,111.02944600000046,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout4.png,,,,,0,6,6,3,,,,,,,,,,,,,,,116.0296128000009,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout6.jpg,,,,,0,7,7,5,,,,,,,,,,,,,,,121.27970330000062,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout11.jpg,,,,,0,8,8,10,,,,,,,,,,,,,,,127.04658519999975,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout10.jpg,,,,,0,9,9,9,,,,,,,,,,,,,,,131.19665760000134,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout7.jpg,,,,,0,10,10,6,,,,,,,,,,,,,,,135.93011070000102,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
./stimuli/layout2.png,,,,,0,11,11,1,,,,,,,,,,,,,,,141.04694160000145,None,,,,,,,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
,,,,,,,,,,,,,,,,,,,,,,,,,145.7637125000001,None,space,7.999664599998141,145.7637125000001,None,004,Experiment,2022_Nov_15_2004,PackagingExperiment,2021.2.3,60.0057125438907,
