stim,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,stimulus_loop.thisRepN,stimulus_loop.thisTrialN,stimulus_loop.thisN,stimulus_loop.thisIndex,calib_instr_text.started,calib_instr_text.stopped,calib_text.started,calib_text.stopped,calib_resp.keys,calib_resp.rt,calib_resp.started,calib_resp.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,layout.started,layout.stopped,closing_text.started,closing_text.stopped,closing_key_resp.keys,closing_key_resp.rt,closing_key_resp.started,closing_key_resp.stopped,participant,task,date,expName,psychopyVersion,frameRate,
,0,0,0,0,,,,,23.391011600000184,None,47.192836499999885,None,['n'],[3.494131500000094],47.192836499999885,None,,,,,,,,,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
,,,,,,,,,,,,,,,,,50.70821780000006,None,space,14.56185060000007,50.70821780000006,None,,,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout4.png,,,,,0,0,0,3,,,,,,,,,,,,,,,65.54255250000006,70.54198540000016,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout7.jpg,,,,,0,1,1,6,,,,,,,,,,,,,,,71.69203430000016,76.69218199999978,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout1.png,,,,,0,2,2,0,,,,,,,,,,,,,,,77.64216010000018,82.64228539999976,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout6.jpg,,,,,0,3,3,5,,,,,,,,,,,,,,,83.69239729999981,88.69240050000008,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout9.jpg,,,,,0,4,4,8,,,,,,,,,,,,,,,89.74243710000019,95.74259639999991,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout11.jpg,,,,,0,5,5,10,,,,,,,,,,,,,,,96.17592650000006,101.17607749999979,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout10.jpg,,,,,0,6,6,9,,,,,,,,,,,,,,,101.59273510000003,106.59282440000015,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout3.png,,,,,0,7,7,2,,,,,,,,,,,,,,,107.65956210000013,112.65973029999986,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout2.png,,,,,0,8,8,1,,,,,,,,,,,,,,,113.52645679999978,118.52647290000004,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout8.jpg,,,,,0,9,9,7,,,,,,,,,,,,,,,119.47653429999991,125.47669540000015,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout5.jpg,,,,,0,10,10,4,,,,,,,,,,,,,,,125.8433584999998,130.8434083000002,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
./stimuli/layout12.jpg,,,,,0,11,11,11,,,,,,,,,,,,,,,131.77684439999985,136.77691969999978,,,,,,,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
,,,,,,,,,,,,,,,,,,,,,,,,,137.29356830000006,None,space,13.191946599999937,137.29356830000006,None,15,Experiment,2022_Nov_21_1143,PackagingExperiment,2021.2.3,60.0079810614542,
